transaction_id,sender_id,receiver_id,amount,timestamp
0,30105,28942,494528,2019-07-19 14:40:00
1,30105,8692,494528,2019-05-17 14:57:00
2,30105,60094,494528,2019-07-20 13:20:00
3,30105,20575,494528,2019-07-03 14:15:00
4,30105,45938,494528,2019-05-26 10:40:00
5,30105,54971,494528,2019-04-06 11:18:00
6,30105,62257,494528,2019-04-23 08:20:00
7,30105,1020,494528,2019-07-04 08:59:00
8,30105,98751,494528,2019-05-06 12:49:00
9,30105,82016,494528,2019-06-09 12:27:00
10,30105,13800,494528,2019-04-17 08:18:00
11,30105,52681,494529,2019-07-18 13:57:00
12,30105,80113,494529,2019-03-27 13:13:00
13,30105,64316,494529,2019-06-09 11:43:00
14,30105,94472,494529,2019-02-21 12:34:00
15,30105,23762,494529,2019-04-07 12:43:00
16,30105,12860,494529,2019-04-28 15:08:00
17,30105,61008,494529,2019-04-19 15:02:00
18,30105,3164,494529,2019-05-19 09:26:00
19,30105,24259,494529,2019-04-20 11:48:00
20,80740,29758,388294,2019-05-03 11:40:00
21,80740,47869,388294,2019-06-14 08:10:00
22,80740,79227,388294,2019-03-05 13:22:00
23,80740,68225,388294,2019-03-03 09:24:00
24,80740,65031,388294,2019-03-10 12:45:00
25,80740,90735,388294,2019-07-17 15:53:00
26,80740,84696,388294,2019-03-04 08:11:00
27,80740,67988,388294,2019-05-25 14:38:00
28,80740,33384,388294,2019-05-22 12:52:00
29,80740,57761,388294,2019-05-06 15:18:00
30,80740,90295,388294,2019-06-26 13:33:00
31,80740,28815,388294,2019-04-27 10:52:00
32,80740,39965,388295,2019-06-12 12:18:00
33,80740,48861,388295,2019-03-15 10:44:00
34,80740,96543,388295,2019-07-17 11:31:00
35,80740,83049,388295,2019-03-05 08:02:00
36,80740,36644,388295,2019-05-30 11:56:00
37,80740,12726,388295,2019-04-05 09:00:00
38,80740,38032,388295,2019-06-06 10:43:00
39,80740,19808,388295,2019-06-08 14:14:00
40,92735,16792,306536,2019-06-20 10:05:00
41,92735,98862,306536,2019-03-21 09:18:00
42,92735,64222,306536,2019-03-30 15:16:00
43,92735,45890,306536,2019-05-09 12:22:00
44,92735,76199,306536,2019-05-06 14:13:00
45,92735,94635,306536,2019-03-20 12:07:00
46,92735,11443,306536,2019-05-12 13:30:00
47,92735,82726,306536,2019-03-30 12:56:00
48,92735,78865,306536,2019-07-05 11:54:00
49,92735,93295,306536,2019-04-08 08:15:00
50,92735,23512,306536,2019-03-15 15:38:00
51,92735,62065,306536,2019-04-15 12:53:00
52,92735,63711,306536,2019-02-25 11:51:00
53,92735,34121,306536,2019-06-25 15:13:00
54,92735,53801,306536,2019-06-20 12:38:00
55,92735,41429,306536,2019-03-03 12:11:00
56,92735,12806,306537,2019-05-12 08:09:00
57,92735,58732,306537,2019-07-14 09:57:00
58,92735,9507,306537,2019-03-23 08:57:00
59,92735,61512,306537,2019-04-10 09:21:00
60,92735,87991,306537,2019-04-24 12:08:00
61,92735,83840,306537,2019-07-10 12:19:00
62,92735,30584,306537,2019-03-04 13:14:00
63,92735,17423,306537,2019-02-25 09:06:00
64,92735,44570,306537,2019-07-01 15:24:00
65,1615,72623,639229,2019-07-18 10:54:00
66,1615,6322,639229,2019-04-25 11:17:00
67,1615,19592,639229,2019-03-09 13:25:00
68,1615,21254,639230,2019-04-23 13:29:00
69,1615,54400,639230,2019-05-30 12:44:00
70,1615,8552,639230,2019-03-05 15:25:00
71,1615,80966,639230,2019-05-20 12:29:00
72,1615,46860,639230,2019-05-14 14:17:00
73,1615,7203,639230,2019-03-29 13:15:00
74,1615,11667,639230,2019-05-13 10:34:00
75,1615,6054,639230,2019-05-26 15:33:00
76,1615,37081,639230,2019-03-18 12:46:00
77,1615,33284,639230,2019-04-16 14:32:00
78,1615,3335,639230,2019-07-04 15:30:00
79,4161,7806,249081,2019-06-15 12:36:00
80,4161,93672,249081,2019-03-14 12:30:00
81,4161,75260,249081,2019-03-28 09:03:00
82,4161,52002,249081,2019-03-21 11:11:00
83,4161,50023,249081,2019-06-04 08:29:00
84,4161,7038,249081,2019-06-16 10:10:00
85,4161,32828,249081,2019-05-23 12:40:00
